PI Department,Sponsor,Year,Effectiveness,Number of researchers,Total
Civil & Envir Engineering,NSF,2009,Somewhat Effective,1-5,217713
Civil & Envir Engineering,NSF,2010,Very Effective,6-10,192050
Civil & Envir Engineering,NSF,2010,Very Effective,16-20,157458
Civil & Envir Engineering,NSF,2010,Very Effective,6-10,71725
Civil & Envir Engineering,NSF,2012,Very Effective,6-10,558389
Civil & Envir Engineering,NSF,2012,Very Effective,16-20,350383
Civil & Envir Engineering,NSF,2011,Very Effective,1-5,344412
Civil & Envir Engineering,NSF,2013,Somewhat Effective,6-10,299591
Civil & Envir Engineering,NSF,2012,Somewhat Effective,16-20,286416
Civil & Envir Engineering,NSF,2012,Somewhat Effective,1-5,191462
Civil & Envir Engineering,NIH,2009,Somewhat Effective,16-20,969862
Civil & Envir Engineering,NIH,2011,Somewhat Effective,6-10,371800
Civil & Envir Engineering,NIH,2007,Somewhat Effective,16-20,75724
Civil & Envir Engineering,NIEHS,2011,Somewhat Effective,1-5,72231
Civil & Envir Engineering,NIAID,2012,Somewhat Effective,6-10,228377
Civil & Envir Engineering,HUD,2009,Somewhat Effective,16-20,179900
Civil & Envir Engineering,EPA,2010,Somewhat Effective,16-20,586203
Civil & Envir Engineering,DOD,2010,Somewhat Effective,1-5,1652797
Civil & Envir Engineering,DOD,2010,Somewhat Effective,6-10,830722
Civil & Envir Engineering,CIA,2013,Very Effective,16-20,360031
Civil & Envir Engineering,CIA,2013,Very Effective,1-5,360022
Civil & Envir Engineering,CBET,2007,Very Effective,6-10,379113
Civil & Envir Engineering,AFRL,2009,Very Effective,6-10,160001
Civil & Envir Engineering,Advanced Energy Consortium,2012,Very Effective,1-5,757593
Civil & Envir Engineering,Advanced Energy Consortium,2012,Very Effective,6-10,221738
Civil & Envir Engineering,Advanced Energy Consortium,2008,Very Effective,10-15,374243
Computer Science,NSF,2013,Very Effective,16-20,875045
Computer Science,NSF,2011,Very Effective,21+,630000
Computer Science,NSF,2013,Very Effective,1-5,1241082
Computer Science,NSF,2011,Very Effective,16-20,499891
Computer Science,NSF,2011,Very Effective,1-5,975059
Computer Science,NSF,2009,Very Effective,16-20,967373
Computer Science,NSF,2010,Very Effective,1-5,899058
Computer Science,NSF,2009,Not Effective,6-10,572946
Computer Science,NSF,2010,Not Effective,16-20,497463
Computer Science,NSF,2011,Not Effective,16-20,493408
Computer Science,NSF,2010,Not Effective,16-20,472051
Computer Science,NSF,2010,Not Effective,1-5,349838
Computer Science,NSF,2009,Not Effective,16-20,301380
Computer Science,NSF,2011,Not Effective,6-10,54843
Computer Science,NSF,2012,Not Effective,16-20,1199078
Computer Science,NSF,2013,Not Effective,1-5,1348468
Computer Science,NSF,2012,Not Effective,6-10,1110081
Computer Science,NSF,2012,Somewhat Effective,16-20,1021419
Computer Science,NSF,2012,Somewhat Effective,16-20,654066
Computer Science,NSF,2007,Somewhat Effective,1-5,691358
Computer Science,NIH,2011,Somewhat Effective,6-10,1099187
Computer Science,NIH,2009,Somewhat Effective,16-20,441832
Computer Science,NIH,2009,Somewhat Effective,1-5,262783
Computer Science,NIH,2010,Not Effective,6-10,262550
Computer Science,NIH,2012,Not Effective,16-20,1875520
Computer Science,Draper Laboratories,2012,Not Effective,16-20,132000
Education - A&S,NSF,2008,Not Effective,1-5,1006706
Education - A&S,NSF,2012,Not Effective,6-10,376505
Electrical & Computer Engineer,USAF,2012,Not Effective,16-20,209652
Electrical & Computer Engineer,ONR,2011,Not Effective,1-5,856250
Electrical & Computer Engineer,NSF,2011,Not Effective,6-10,3646830
Electrical & Computer Engineer,NSF,2012,Not Effective,16-20,3498659
Electrical & Computer Engineer,NSF,2008,Not Effective,6-10,1986079
Electrical & Computer Engineer,NSF,2010,Very Effective,16-20,717303
Electrical & Computer Engineer,NSF,2011,Very Effective,1-5,707258
Electrical & Computer Engineer,NSF,2011,Very Effective,6-10,592216
Electrical & Computer Engineer,NSF,2011,Very Effective,16-20,471309
Electrical & Computer Engineer,NSF,2008,Very Effective,16-20,456791
Electrical & Computer Engineer,NSF,2012,Very Effective,1-5,449427
Electrical & Computer Engineer,NSF,2010,Very Effective,6-10,349617
Electrical & Computer Engineer,NSF,2011,Very Effective,16-20,305235
Electrical & Computer Engineer,NSF,2013,Very Effective,1-5,300053
Electrical & Computer Engineer,NSF,2011,Very Effective,6-10,196464
Electrical & Computer Engineer,NSF,2011,Not Effective,10-15,100002
Electrical & Computer Engineer,NSF,2010,Not Effective,16-20,25000
Electrical & Computer Engineer,NSF,2012,Not Effective,21+,954532
Electrical & Computer Engineer,NSF,2012,Not Effective,1-5,731890
Electrical & Computer Engineer,NSF,2012,Not Effective,16-20,499904
Electrical & Computer Engineer,NSF,2011,Not Effective,1-5,499118
Electrical & Computer Engineer,NSF,2012,Not Effective,16-20,470574
Electrical & Computer Engineer,NSF,2012,Not Effective,1-5,468186
Electrical & Computer Engineer,NSF,2011,Not Effective,6-10,449427
Electrical & Computer Engineer,NSF,2012,Not Effective,16-20,415378
Electrical & Computer Engineer,NSF,2012,Very Effective,16-20,399991
Electrical & Computer Engineer,NIST,2012,Very Effective,16-20,499995
Electrical & Computer Engineer,NIH,2007,Very Effective,1-5,44991
Electrical & Computer Engineer,NIH,2009,Very Effective,16-20,1250108
Electrical & Computer Engineer,NIH,2012,Very Effective,6-10,433195
Electrical & Computer Engineer,NIH,2012,Very Effective,16-20,430565
Electrical & Computer Engineer,NIH,2012,Very Effective,1-5,154816
Electrical & Computer Engineer,NIEHS,2012,Not Effective,6-10,411918
Electrical & Computer Engineer,NIEHS,2013,Not Effective,16-20,452182
Electrical & Computer Engineer,NAVEODTECHDIV,2012,Not Effective,16-20,97970
Electrical & Computer Engineer,IARPA,2011,Not Effective,1-5,201237
Electrical & Computer Engineer,DOE,2011,Not Effective,6-10,630140
Electrical & Computer Engineer,DOE,2011,Not Effective,16-20,46760
Electrical & Computer Engineer,DOE,2012,Not Effective,1-5,302867
Electrical & Computer Engineer,DOD,2012,Not Effective,6-10,198905
Electrical & Computer Engineer,DOD,2009,Not Effective,16-20,13048
Electrical & Computer Engineer,DOD,2012,Not Effective,16-20,322197
Electrical & Computer Engineer,DHS,2012,Not Effective,1-5,59987
Electrical & Computer Engineer,DHS,2011,Not Effective,6-10,747999
Electrical & Computer Engineer,DARPA,2010,Not Effective,16-20,193861
Electrical & Computer Engineer,DARPA,2012,Not Effective,1-5,157063
Electrical & Computer Engineer,DARPA,2011,Not Effective,6-10,2484734
Electrical & Computer Engineer,DARPA,2012,Not Effective,16-20,888287
Electrical & Computer Engineer,DARPA,2013,Not Effective,6-10,634141
Electrical & Computer Engineer,Catalyst Foundation,2011,Not Effective,16-20,173775
Electrical & Computer Engineer,ARO,2012,Not Effective,1-5,36959
Geology - A&S,Boston Groundwater Trust,2008,Not Effective,6-10,39189
Mechanical Engineering,USAID,2012,Very Effective,16-20,283622
Mechanical Engineering,SRC/Sematech,2008,Very Effective,16-20,19900
Mechanical Engineering,NSF,2012,Very Effective,1-5,407765
Mechanical Engineering,NSF,2012,Very Effective,6-10,355589
Mechanical Engineering,NSF,2011,Very Effective,16-20,9865334
Mechanical Engineering,NSF,2010,Very Effective,1-5,3499800
Mechanical Engineering,NSF,2010,Very Effective,6-10,2496489
Mechanical Engineering,NSF,2009,Very Effective,16-20,609940
Mechanical Engineering,NSF,2008,Very Effective,1-5,356595
Mechanical Engineering,NSF,2009,Very Effective,6-10,323732
Mechanical Engineering,NSF,2010,Very Effective,16-20,145968
Mechanical Engineering,NSF,2009,Very Effective,6-10,29420
Mechanical Engineering,NSF,2011,Not Effective,6-10,1159821
Mechanical Engineering,NSF,2012,Not Effective,16-20,321920
Mechanical Engineering,NSF,2012,Not Effective,1-5,2844441
Mechanical Engineering,NSF,2012,Not Effective,6-10,599876
Mechanical Engineering,NSF,2012,Not Effective,16-20,449999
Mechanical Engineering,NSF,2013,Not Effective,1-5,325159
Mechanical Engineering,NSF,2012,Not Effective,16-20,43606
Mechanical Engineering,NIST,2009,Not Effective,6-10,467975
Mechanical Engineering,NIH,2009,Not Effective,16-20,1032226
Mechanical Engineering,NASA,2008,Not Effective,1-5,1252981
Mechanical Engineering,NASA,2009,Very Effective,6-10,1134882
Mechanical Engineering,NASA,2008,Very Effective,16-20,975044
Mechanical Engineering,NASA,2009,Not Effective,16-20,363579
Mechanical Engineering,FAA,2012,Not Effective,1-5,120000
Mechanical Engineering,Draper Laboratories,2012,Not Effective,6-10,114000
Mechanical Engineering,DOE,2007,Not Effective,16-20,15092
Mechanical Engineering,DHS,2011,Not Effective,1-5,428277
Mechanical Engineering,AFOSR,2011,Not Effective,6-10,93230
Mechanical Engineering,Advanced Diamond,2008,Not Effective,6-10,64521
Office of the Vice Provost,NSF,2008,Not Effective,16-20,2990574
Office of the Vice Provost,NSF,2012,Not Effective,1-5,320727
Office of the Vice Provost,NSF,2012,Not Effective,6-10,320701
School of Engineering,SERDP,2012,Very Effective,16-20,1419146
School of Engineering,SERDP,2007,Very Effective,16-20,5195
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
